Network Name,Longitude,ITU Administration,Previous Name,Planned or Non-Planned,Highest Maturity,Brought-into-Use Date,Late-Stage Filing Date,Early-Stage Filing Date,Suspensions,Link
CANSAT-71,-178.5,CAN ,n/a,Non-Planned,C,n/a,n/a,2018-04-19,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CANSAT-71&sel_satname=CANSAT-71&plan_id=
CHNNEWSAT-G1-178W,-178.0,CHN ,n/a,Non-Planned,C,n/a,n/a,2017-11-30,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CHNNEWSAT-G1-178W&sel_satname=CHNNEWSAT-G1-178W&plan_id=
NSS-G2-1-1,-177.0,HOL ,n/a,Non-Planned,A,n/a,n/a,2022-12-22,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=A&sat_name=NSS-G2-1-1&sel_satname=NSS-G2-1-1&plan_id=
FLTSATCOM-C W PAC-2,-177.0,USA ,n/a,Non-Planned,U,1995-05-10,1992-01-03,1990-09-28,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=FLTSATCOM-C+W+PAC-2&sel_satname=FLTSATCOM-C+W+PAC-2&plan_id=
NSS-G9-177W,-177.0,HOL ,n/a,Non-Planned,C,n/a,n/a,2018-10-31,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=NSS-G9-177W&sel_satname=NSS-G9-177W&plan_id=
INTELSAT IBS 183E,-177.0,HOL ,n/a,Non-Planned,U,1998-07-01,1990-12-12,1990-06-12,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT+IBS+183E&sel_satname=INTELSAT+IBS+183E&plan_id=
YAMAL-183E,-177.0,RUS ,n/a,Non-Planned,U,2015-05-25,2017-12-01,2013-12-18,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=YAMAL-183E&sel_satname=YAMAL-183E&plan_id=
NSS-G2-1,-177.0,HOL ,n/a,Non-Planned,U,2015-06-28,2015-10-23,2008-11-12,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NSS-G2-1&sel_satname=NSS-G2-1&plan_id=
NSS-FSS-G2 177W,-177.0,HOL ,n/a,Planned,P,n/a,n/a,2021-12-16,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=NSS-FSS-G2+177W&sel_satname=NSS-FSS-G2+177W&plan_id=plan
NSS-19,-177.0,HOL ,n/a,Non-Planned,U,2003-01-01,2006-10-20,1999-11-18,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=NSS-19&sel_satname=NSS-19&plan_id=
INTELSAT5 183E,-177.0,HOL ,INTELSAT5 PAC1,Non-Planned,U,1990-09-13,1990-06-12,1998-10-29,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT5+183E&sel_satname=INTELSAT5+183E&plan_id=
INTELSAT5A 183E,-177.0,HOL ,n/a,Non-Planned,U,1995-07-08,1990-12-12,1990-06-12,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT5A+183E&sel_satname=INTELSAT5A+183E&plan_id=
IRIS-8A,-177.0,USA ,n/a,Non-Planned,U,2012-12-01,2012-12-17,2011-06-23,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=IRIS-8A&sel_satname=IRIS-8A&plan_id=
INTELSAT8 183E,-177.0,HOL ,INTELSAT FOS 183E,Non-Planned,U,2001-11-24,1992-11-12,1993-09-16,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT8+183E&sel_satname=INTELSAT8+183E&plan_id=
INTELSAT7 183E,-177.0,HOL ,n/a,Non-Planned,U,1996-06-01,1990-12-12,1990-06-12,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=U&sat_name=INTELSAT7+183E&sel_satname=INTELSAT7+183E&plan_id=
CANGYU-4,-175.9,CHN ,n/a,Non-Planned,C,n/a,n/a,2022-07-27,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=CANGYU-4&sel_satname=CANGYU-4&plan_id=
